Methode;Metric;Variablenname;Missing;Wert
modus;MSE;AMT_INCOME_TOTAL;0;17268733893,898
means;MSE;AMT_INCOME_TOTAL;80;13689835031,365
means;MSE;AMT_INCOME_TOTAL;50;13689835031,365
means;MSE;AMT_INCOME_TOTAL;25;13689835031,365
means;MSE;AMT_INCOME_TOTAL;10;13689835031,365
means;MSE;AMT_INCOME_TOTAL;0;13689835031,365
rondom_forest_regression;RMSE;AMT_INCOME_TOTAL;80;323285,407
rondom_forest_regression;RMSE;AMT_INCOME_TOTAL;50;207061,012
rondom_forest_regression;RMSE;AMT_INCOME_TOTAL;25;139775,820
rondom_forest_regression;RMSE;AMT_INCOME_TOTAL;10;99973,490
rondom_forest_regression;RMSE;AMT_INCOME_TOTAL;0;64974,066
rondom_forest_classification;RMSE;NAME_INCOME_TYPE;80;0,000
rondom_forest_classification;RMSE;NAME_INCOME_TYPE;50;0,000
rondom_forest_classification;RMSE;NAME_INCOME_TYPE;25;0,000
rondom_forest_classification;RMSE;NAME_INCOME_TYPE;10;0,000
rondom_forest_classification;RMSE;NAME_INCOME_TYPE;0;0,000
rondom_forest_classification;RMSE;CODE_GENDER;80;0,000
rondom_forest_classification;RMSE;CODE_GENDER;50;0,000
rondom_forest_classification;RMSE;CODE_GENDER;25;0,000
rondom_forest_classification;RMSE;CODE_GENDER;10;0,000
rondom_forest_classification;RMSE;CODE_GENDER;0;0,000
rondom_forest_classification;RMSE;AMT_INCOME_TOTAL;80;134916,839
rondom_forest_classification;RMSE;AMT_INCOME_TOTAL;50;136823,407
rondom_forest_classification;RMSE;AMT_INCOME_TOTAL;25;125765,822
rondom_forest_classification;RMSE;AMT_INCOME_TOTAL;10;104084,631
rondom_forest_classification;RMSE;AMT_INCOME_TOTAL;0;69714,065
correlation_3;RMSE;NAME_INCOME_TYPE;80;0,000
correlation_3;RMSE;NAME_INCOME_TYPE;50;0,000
correlation_3;RMSE;NAME_INCOME_TYPE;25;0,000
correlation_3;RMSE;NAME_INCOME_TYPE;10;0,000
correlation_3;RMSE;NAME_INCOME_TYPE;0;0,000
correlation_3;RMSE;CODE_GENDER;80;0,000
correlation_3;RMSE;CODE_GENDER;50;0,000
correlation_3;RMSE;CODE_GENDER;25;0,000
correlation_3;RMSE;CODE_GENDER;10;0,000
correlation_3;RMSE;CODE_GENDER;0;0,000
correlation_3;RMSE;AMT_INCOME_TOTAL;80;116527,305
correlation_3;RMSE;AMT_INCOME_TOTAL;50;116527,305
correlation_3;RMSE;AMT_INCOME_TOTAL;25;116527,305
correlation_3;RMSE;AMT_INCOME_TOTAL;10;116527,305
correlation_3;RMSE;AMT_INCOME_TOTAL;0;116527,305
correlation_2;RMSE;NAME_INCOME_TYPE;80;0,000
correlation_2;RMSE;NAME_INCOME_TYPE;50;0,000
correlation_2;RMSE;NAME_INCOME_TYPE;25;0,000
correlation_2;RMSE;NAME_INCOME_TYPE;10;0,000
correlation_2;RMSE;NAME_INCOME_TYPE;0;0,000
correlation_2;RMSE;CODE_GENDER;80;0,000
correlation_2;RMSE;CODE_GENDER;50;0,000
correlation_2;RMSE;CODE_GENDER;25;0,000
correlation_2;RMSE;CODE_GENDER;10;0,000
correlation_2;RMSE;CODE_GENDER;0;0,000
correlation_2;RMSE;AMT_INCOME_TOTAL;80;116527,305
correlation_2;RMSE;AMT_INCOME_TOTAL;50;116527,305
